emotion,kind,layer,I_final,I_final_normalized
fear,attention,20,2.0887918692979026,0.03587725541510806
fear,attention,21,2.240325513119217,0.03848000934347656
fear,attention,22,2.3297996462979333,0.040016824177104386
fear,attention,23,2.298464880252632,0.0394786157412597
fear,attention,24,2.2631538982141075,0.038872111503008205
fear,attention,25,2.111751403727741,0.036271610206056265
fear,attention,26,1.912115126503868,0.03284264161739085
fear,attention,27,1.7016947478523226,0.02922844444418816
fear,mlp,0,-0.0005947914606232,-1.0216185473125426e-05
fear,mlp,1,-0.0181147166586901,-0.0003111398152629673
fear,mlp,2,0.0447455693694152,0.0007685534612409921
fear,mlp,3,0.0276519382388638,0.0004749518922878479
fear,mlp,4,0.0464414884042743,0.0007976827015790612
fear,mlp,5,0.0241579420810349,0.0004149387361585258
fear,mlp,6,0.114275891173701,0.0019628118031721604
fear,mlp,7,0.1576002987685745,0.002706955276649001
fear,mlp,8,0.1685724720443928,0.0028954141982205756
fear,mlp,9,0.3284845255158822,0.005642076357662755
fear,mlp,10,0.4388415122128291,0.007537576745596988
fear,mlp,11,0.407802744388997,0.007004452398765741
fear,mlp,12,0.5803899250853786,0.009968823552364097
fear,mlp,13,0.7794131614265549,0.013387262502030192
fear,mlp,14,1.1536481591755268,0.01981515261251078
fear,mlp,15,1.3519736076647413,0.023221606302487596
fear,mlp,16,1.5696429809210863,0.026960312784043042
fear,mlp,17,1.7652436463208665,0.030319965382782716
fear,mlp,18,1.9816759572117504,0.03403742398267871
fear,mlp,19,2.107888342443676,0.03620525795794109
fear,mlp,20,2.235182983857149,0.03839168085152543
fear,mlp,21,2.3614576472842344,0.040560584522025225
fear,mlp,22,2.3247219478912635,0.039929609225086114
fear,mlp,23,2.269686068682258,0.0389843085829306
fear,mlp,24,2.108352305417457,0.03621322702291025
fear,mlp,25,1.9510016867311049,0.03351056027122806
fear,mlp,26,1.7398356605594758,0.029883555796866794
fear,mlp,27,1.4576033124621013,0.0250359105202224
happiness,attention,0,-0.2124469395794028,-0.0029699814639005235
happiness,attention,1,-0.0741355036317201,-0.001036405005593621
happiness,attention,2,0.0702187638048629,0.0009816494760118966
happiness,attention,3,-0.0087194114035892,-0.00012189627346975204
happiness,attention,4,0.2268487934898365,0.0031713175680801024
happiness,attention,5,0.2068109767905872,0.0028911914137959922
happiness,attention,6,0.2889351545962597,0.004039277078403822
happiness,attention,7,0.374465529493889,0.005234980949447253
happiness,attention,8,0.5056981483179407,0.007069596435733808
happiness,attention,9,0.7197576069816142,0.010062120713383266
happiness,attention,10,0.9089608395876928,0.01270715808065534
happiness,attention,11,1.2141792979113757,0.016974073694767198
happiness,attention,12,1.7620089245625885,0.024632662892384388
happiness,attention,13,1.916941047390733,0.02679859446039536
happiness,attention,14,1.8066578031633167,0.02525684859301457
happiness,attention,15,1.768734783049326,0.024726689547105687
happiness,attention,16,1.950184399263274,0.027263332333554827
happiness,attention,17,2.072305809591999,0.028970574272364415
happiness,attention,18,2.156284691350402,0.03014458846468622
happiness,attention,19,2.167841219103809,0.030306147267475384
happiness,attention,20,2.1883505961909995,0.030592865776603806
happiness,attention,21,2.2453310542405154,0.031389445405129696
happiness,attention,22,2.247778437512495,0.031423659515096306
happiness,attention,23,2.1988519268796805,0.03073967305729902
happiness,attention,24,2.0597387666193274,0.02879488859405449
happiness,attention,25,1.940416859451624,0.027126783356921216
happiness,attention,26,1.747129974858603,0.024424657049087087
happiness,attention,27,1.5863826137519754,0.022177429182200486
happiness,mlp,0,-0.198295404353501,-0.0027721447834104527
happiness,mlp,1,0.0654033897475353,0.000914331153044645
happiness,mlp,2,-0.0729767864187536,-0.0010202062848625713
happiness,mlp,3,-0.0275325844434498,-0.00038490206360331923
happiness,mlp,4,0.2285785231859464,0.0031954989714233343
happiness,mlp,5,0.2130824864631647,0.0029788663293071494
happiness,mlp,6,0.3248343131419831,0.004541142794433942
happiness,mlp,7,0.4279660554742433,0.005982911565840966
happiness,mlp,8,0.6593656705097615,0.009217849046088087
happiness,mlp,9,0.7656404198207882,0.010703556659289336
happiness,mlp,10,1.0798066689170884,0.015095561261692323
happiness,mlp,11,1.1879590366501271,0.016607517744002695
happiness,mlp,12,1.579212060852801,0.022077185755589455
happiness,mlp,13,1.7584982427721754,0.02458358400302113
happiness,mlp,14,1.6807306227509011,0.023496402467659366
happiness,mlp,15,1.828089292575255,0.025556458116330144
happiness,mlp,16,2.0180569398579715,0.028212181904526155
happiness,mlp,17,2.157691405925281,0.030164254157308862
happiness,mlp,18,2.17079070218967,0.030347380669615412
happiness,mlp,19,2.202005070423286,0.03078375360699329
happiness,mlp,20,2.2375876990718817,0.03128119427491916
happiness,mlp,21,2.2612967485498863,0.03161264380116689
happiness,mlp,22,2.222908595865263,0.031075982260490274
happiness,mlp,23,2.068270736144074,0.028914164453660796
happiness,mlp,24,1.9413483293374936,0.02713980518863454
happiness,mlp,25,1.7665412264348672,0.024696023901849242
happiness,mlp,26,1.619179535029807,0.022635926011860666
happiness,mlp,27,1.3298513629439053,0.018591154598440598
sadness,attention,0,0.0990050316428423,0.0016760343343755772
sadness,attention,1,-0.0571496630485933,-0.0009674740351882154
sadness,attention,2,-0.0128087724699965,-0.0002168368827794911
sadness,attention,3,0.0123324439917919,0.00020877322307791374
sadness,attention,4,0.0339777402188073,0.0005752016666855142
sadness,attention,5,-0.0012675757106416,-2.145850950404132e-05
sadness,attention,6,-0.0149392681133376,-0.0002529035734135466
sadness,attention,7,0.0570976636438909,0.0009665937487401214
sadness,attention,8,0.0580036551152244,0.0009819310784435675
sadness,attention,9,0.1051115490088908,0.0017794102194101833
sadness,attention,10,0.157778248374282,0.0026709931516097083
sadness,attention,11,0.2503155757226459,0.004237537147138271
sadness,attention,12,0.5259361901800923,0.008903457711244985
sadness,attention,13,0.9729281914094312,0.016470486667452433
sadness,attention,14,1.225593459764496,0.020747801242685167
sadness,attention,15,1.6460821852025862,0.027866162091196803
sadness,attention,16,1.7106316195951563,0.028958905222644434
sadness,attention,17,1.9193103235118256,0.032491580954510824
sadness,attention,18,2.0417628354295645,0.03456455250857327
sadness,attention,19,2.070635563305013,0.03505333254776266
sadness,attention,20,2.23854786407447,0.037895882836205035
sadness,attention,21,2.2781903633319858,0.03856698195867937
sadness,attention,22,2.2612970364208933,0.0382809985550584
sadness,attention,23,2.238477751704678,0.03789469591936773
sadness,attention,24,2.1331291282709657,0.036111272319332234
sadness,attention,25,2.0073243197518607,0.03398155047581814
sadness,attention,26,1.769958963621052,0.02996324473857349
sadness,attention,27,1.592476519389677,0.026958683603198218
sadness,mlp,0,0.0912504593798281,0.0015447588916476325
sadness,mlp,1,-0.0516017644188041,-0.0008735548834757461
sadness,mlp,2,-0.0133462722968355,-0.0002259360987441195
sadness,mlp,3,0.0158146131283706,0.000267722096020684
sadness,mlp,4,0.0382993821390373,0.0006483617891458756
sadness,mlp,5,0.0011160666726538,1.8893646431709536e-05
sadness,mlp,6,-0.0353239426726664,-0.000597991230975822
sadness,mlp,7,0.0669499665049783,0.0011333812098806685
sadness,mlp,8,0.0627536136789211,0.0010623420788494497
sadness,mlp,9,0.146609118203247,0.0024819134115082546
sadness,mlp,10,0.2303294995497259,0.0038991972737053705
sadness,mlp,11,0.2520400926336895,0.004266731113395938
sadness,mlp,12,0.7197404623185641,0.012184327469708723
sadness,mlp,13,1.044049887200201,0.017674490161884555
sadness,mlp,14,1.4570882721773362,0.02466672584071396
sadness,mlp,15,1.6898449991764597,0.028607013112321708
sadness,mlp,16,1.914814211934828,0.032415467273729265
sadness,mlp,17,2.0469829299753863,0.03465292233728103
sadness,mlp,18,2.0791574204512884,0.035197597186971366
sadness,mlp,19,2.2541592375778534,0.03816016433346087
sadness,mlp,20,2.2666650130216777,0.03837187184644318
sadness,mlp,21,2.273660384866041,0.03849029495280784
sadness,mlp,22,2.248841708470603,0.03807014505656246
sadness,mlp,23,2.140725581408654,0.03623987099827787
sadness,mlp,24,2.0083942126948084,0.03399966245736829
sadness,mlp,25,1.8044463177221255,0.030547073546221232
sadness,mlp,26,1.6351264030488444,0.027680694072603044
sadness,mlp,27,1.3626776432051608,0.0230684691353559
surprise,attention,0,0.0571048042225448,0.0010610123769499464
surprise,attention,1,0.0131632305471054,0.00024457400250766596
surprise,attention,2,-0.0021133955381504,-3.926707838152606e-05
surprise,attention,3,-0.0127578685925001,-0.00023704234108554262
surprise,attention,4,-0.0177181636432993,-0.0003292050673898161
surprise,attention,5,-0.0491984653840385,-0.0009141118932126534
surprise,attention,6,0.0432866594407798,0.0008042700093060211
surprise,attention,7,0.0360303585030249,0.0006694472879842325
surprise,attention,8,-0.0318124537893241,-0.0005910782406341803
surprise,attention,9,-0.0388820161533883,-0.0007224313425318717
surprise,attention,10,0.0141472943526063,0.00026285799614988054
surprise,attention,11,0.0180157402131901,0.00033473406671032856
surprise,attention,12,0.2436857895241482,0.004527703794663649
surprise,attention,13,0.6459076637927446,0.012001022242895041
surprise,attention,14,0.8211848487047617,0.015257688036964496
surprise,attention,15,1.3013057717057424,0.02417837778753994
surprise,attention,16,1.5035424149434244,0.027935952731878468
surprise,attention,17,1.5954802838729216,0.029644166570848028
surprise,attention,18,1.7882312277214836,0.033225496370966105
surprise,attention,19,1.8973607307430385,0.03525313231110569
surprise,attention,20,2.111977187891018,0.039240725306674606
surprise,attention,21,2.206289228959088,0.04099305147661756
